,id,latitude,longitude
0,50785,-4.05969643,35.2907992
1,51630,-3.30921425,36.65670893
2,17168,-5.00434437,34.76786315
3,45559,-9.41867222,38.05804609
4,49871,-10.950412,35.00612345
5,52449,-3.30242017,36.68527855
6,24806,-7.54138236,36.39804116
7,28965,-10.89378645,39.60741997
8,36301,-10.82358805,39.26295070000001
9,54122,-3.25175375,37.09610836
10,419,-3.24112116,37.23324768
11,45750,-4.55597478,37.68639178
12,653,-4.16572015,33.66107435
13,14017,-3.2095291,33.00768032
14,44607,-7.87029042,35.61562385
15,40228,-10.91259619,35.48288627
16,27714,-7.72794628,39.85018977
17,28785,-4.5658015999999995,38.25402354
18,28330,-3.38780779,31.58679783
19,18532,-10.58336646,39.43852591
20,69961,-6.85026202,39.32230666
21,55083,-9.35251465,34.94362033
22,8691,-5.05419563,31.04608844
23,30331,-5.16592646,34.62104755
24,70970,-3.04712172,33.72235857
25,61136,-9.15287185,34.92959242
26,28799,-10.57968552,35.42444315
27,46825,-6.14752205,35.89487669
28,44718,-2e-08,0.0
29,37350,-5.24231281,36.29176128
30,65738,-3.35116762,35.6124173
31,3271,-3.92819891,32.86178245
32,42658,-4.85766882,33.12453405
33,67523,-3.34770932,35.66507527
34,37034,-8.86253212,34.72199105
35,42432,-9.139496099999999,34.70534261
36,27420,-4.77558442,38.83713732
37,707,-3.7238624,37.65808091
38,48489,-6.28331307,37.47632192
39,51008,-8.88128573,33.32603356
40,72562,-10.49203103,40.04071287
41,10275,-5.17252308,38.72134804
42,53540,-3.71753771,33.14491487
43,43291,-2.70336413,33.33199615
44,8813,-3.22665421,33.13082951
45,62343,-8.86101931,33.62516779
46,1649,-4.96546043,32.35815302
47,8822,-4.00583487,37.70648416
48,10352,-8.98179247,33.66386327
49,50878,-3.06340514,33.77857064
50,15266,-9.16743357,33.58724528
51,51956,-4.6312447,38.4236917
52,44099,-10.78502855,37.12085919
53,59,-3.71955244,33.59072198
54,51359,-9.13206159,39.56082776
55,15962,-2e-08,0.0
56,17853,-1.82664599,33.06230846
57,42040,-3.28942377,37.55433946
58,72243,-10.53404797,35.99024647
59,63653,-3.29203785,36.61868919
60,26510,-3.32682925,33.77914543
61,72053,-2.59036242,30.50096464
62,29351,-1.20066603,34.25333419
63,51897,-4.97090922,34.85944848
64,20376,-8.18809279,35.10908924
65,26804,-8.55105463,36.50348726
66,67303,-3.45135176,36.80143513
67,69780,-3.13469202,37.62786033
68,45374,-2e-08,0.0
69,54665,-3.18441406,37.22900273
70,39341,-4.24867926,30.12795597
71,8869,-11.20866259,37.45782761
72,20691,-8.942157,33.16618409
73,19693,-4.48085439,35.52646919
74,14321,-8.80386259,31.9968789
75,63059,-3.13524663,33.51920554
76,67403,-5.28936932,39.05964828
77,28912,-3.27103862,37.22600343
78,12549,-6.33698054,35.56741628
79,24328,-3.7304578,37.59031748
80,13750,-4.99156819,32.0400396
81,1574,-4.8647269,38.46742948
82,44149,-1.06107072,31.36783688
83,53917,-1.69420356,31.12892305
84,22705,-3.31430939,36.88065592
85,66465,-3.41259554,32.05069828
86,15644,-1.11325712,31.83376051
87,20773,-5.30269309,35.82452906
88,33092,-7.59517464,36.96288481
89,54392,-3.81858443,37.47908238
90,37850,-6.74295268,38.90647215
91,5576,-8.02782346,35.77193117
92,60840,-4.13979616,35.87050076
93,9971,-6.37911714,31.24387308
94,57508,-6.81836802,36.64437721
95,25872,-4.19322784,32.99693009
96,43978,-8.9881064,33.98504961
97,38181,-9.19113626,33.91513217
98,24325,-6.13357212,37.61832784
99,2724,-1.52024104,31.53064308
100,34794,-6.61124387,31.14227776
101,56525,-3.90293977,32.76916953
102,63155,-1.76796453,31.6075471
103,67247,-7.08503792,37.57594115
104,23387,-8.78594686,38.91481877
105,17873,-3.50805245,32.30554915
106,18197,-8.82935561,34.97643178
